--- scanner 0 ---
653,279,-501
679,389,-558
450,-411,508
-695,711,321
-488,-362,828
617,622,535
-596,-479,787
728,-588,-541
616,666,636
-519,-440,-646
469,-429,698
-635,554,281
640,303,-449
-770,512,-877
-529,-488,839
-786,405,-744
767,-717,-435
548,579,606
790,-625,-462
-720,477,-784
377,-427,714
-568,-589,-703
-84,-26,-131
-732,508,283
-563,-492,-674

--- scanner 1 ---
-425,386,591
-449,587,580
-737,898,-600
39,0,43
-645,-653,-656
-402,-614,731
830,-641,327
-266,-604,717
-370,522,564
866,-710,-689
680,-782,-665
151,98,-78
601,691,573
609,646,603
-558,-794,-706
-587,-690,-787
-325,-593,829
840,789,-549
660,730,605
964,-667,426
916,775,-606
-641,913,-518
854,-689,-684
-779,967,-499
981,-556,328
880,619,-599

--- scanner 2 ---
-433,-534,544
-435,-569,466
-705,516,451
-434,544,-451
369,755,357
461,-845,-641
822,-764,631
417,688,299
-442,538,-730
536,-887,-638
-400,455,-614
692,-911,609
-59,-121,-99
806,-924,631
-496,-441,444
294,507,-497
599,-720,-655
-740,520,635
37,37,-30
-890,-444,-800
-863,-447,-834
-879,480,518
290,513,-492
-749,-402,-893
352,664,336
340,609,-603

--- scanner 3 ---
-348,-472,472
-558,-639,-485
-336,520,435
-481,573,504
424,769,720
-585,-735,-357
694,558,-469
-471,-546,556
-568,-597,-374
-565,602,-500
-382,-571,618
759,-499,667
578,-411,-282
676,-398,-459
-776,616,-534
897,559,-455
-650,523,-483
120,-117,136
680,528,-464
13,46,71
571,-431,-514
-414,483,404
716,-571,807
477,704,692
750,-562,669
439,778,664

--- scanner 4 ---
363,290,737
-335,752,-760
497,-574,-841
377,258,745
-597,-673,530
804,592,-647
-419,429,408
-531,-559,-697
720,-491,332
-579,-691,493
-434,757,-708
648,-473,470
30,-145,-62
-456,371,539
-421,713,-633
-651,-465,-741
-568,-502,-705
847,627,-734
-315,458,489
464,-500,-766
871,763,-642
476,-762,-754
630,-631,371
-636,-879,528
524,342,789

--- scanner 5 ---
690,-755,-689
-611,537,489
-343,-379,-410
-723,456,581
-501,-305,537
711,-689,-650
649,-691,749
610,-554,699
440,509,-934
528,-744,-704
379,722,524
-443,606,-793
-384,389,-775
629,493,-909
-451,-365,555
553,686,591
-425,-382,657
-395,-509,-393
-557,452,-767
-318,-512,-543
-680,463,347
594,-809,704
498,476,-829
518,682,407
93,14,-140
-10,126,-47

--- scanner 6 ---
-747,-534,-657
492,747,-778
-486,-843,608
-856,692,-388
609,291,458
-560,411,812
819,-770,-561
809,268,474
-934,706,-423
-103,-16,-39
-795,684,-401
-678,476,744
826,-857,-547
279,-953,525
804,350,472
517,756,-667
360,817,-689
342,-811,502
287,-779,445
3,-147,34
-653,-801,609
-810,-525,-659
-692,-892,627
-569,471,678
-738,-568,-519
790,-667,-546

--- scanner 7 ---
-859,543,-643
-688,703,750
474,-589,-775
-653,724,701
56,-84,105
-801,601,-786
572,-617,718
285,271,-813
790,356,960
-828,-626,785
-781,-713,752
741,399,853
-721,731,586
-428,-510,-698
368,-691,-821
-465,-534,-763
-135,30,139
773,477,824
-486,-443,-746
-801,-545,856
409,326,-775
449,-515,775
363,-685,-825
-69,-137,-19
-869,495,-810
286,249,-743
472,-538,601

--- scanner 8 ---
-396,-737,680
483,-575,509
333,-689,-363
484,698,621
765,457,-321
-757,718,-734
503,709,526
-633,-800,-470
-859,810,-752
-461,775,657
-430,714,667
346,726,628
-438,-812,677
706,521,-362
401,-631,370
-464,633,563
-563,-674,663
-58,-117,99
-657,-678,-500
75,-151,-41
-749,-683,-483
401,-730,-277
554,498,-360
-774,779,-584
367,-636,-447
377,-596,416

--- scanner 9 ---
484,-612,591
775,361,557
705,529,-688
-731,-684,738
78,-171,67
-811,-550,-451
833,426,477
541,-620,628
-319,571,-741
758,-717,-722
-353,477,-911
-637,479,348
-285,518,-825
447,-576,508
822,-730,-593
-637,417,352
-661,373,419
-770,-557,824
-661,-592,-479
-775,-609,725
681,407,-718
-11,-32,-55
740,461,438
797,524,-705
920,-726,-706
-746,-734,-439

--- scanner 10 ---
582,-825,-367
777,282,-340
585,-505,910
814,270,652
-83,-178,5
-138,5,134
-530,780,-769
442,-782,-439
845,348,615
580,-816,-430
557,-543,836
-849,669,725
-861,666,644
-686,-549,-524
-685,-507,-691
693,405,-414
-808,659,829
-571,-681,677
-440,-753,700
-448,744,-690
-586,786,-585
631,316,-439
-704,-458,-485
745,415,705
529,-490,901
-445,-604,758

--- scanner 11 ---
-812,-468,444
42,154,104
814,-318,-477
340,-662,520
-421,596,-609
625,733,649
561,731,418
-525,-733,-430
405,521,-706
-580,815,637
-805,-702,487
376,543,-827
-514,-786,-476
358,-630,477
-58,40,-16
760,-222,-539
-656,568,-600
-612,780,713
-570,681,-544
377,509,-606
575,717,470
-731,-560,556
811,-351,-473
-616,-729,-412
-393,791,711
355,-620,435

--- scanner 12 ---
-718,-584,-698
835,-490,226
-519,748,-479
-402,696,215
-397,690,211
-508,594,261
-320,-244,293
-635,665,-521
730,683,-819
546,687,-784
438,-553,-727
-319,-266,223
431,539,273
613,723,-958
394,515,338
-443,-321,261
-607,-542,-708
-735,-446,-681
-356,659,-513
-74,-31,6
388,-690,-688
825,-538,393
767,-596,250
433,-808,-743
14,159,-94
452,448,290

--- scanner 13 ---
348,-635,532
-795,574,275
363,401,507
350,-600,454
488,493,-760
-83,185,-28
-777,-258,597
612,400,474
-762,491,-914
-839,465,334
664,-767,-905
-891,-245,619
-910,432,316
-116,-3,-136
438,406,-652
-684,-449,-667
-907,-405,619
805,-725,-812
516,412,527
-621,-282,-650
431,504,-736
778,-722,-846
411,-728,432
-783,597,-821
-546,-324,-653
-727,515,-960

--- scanner 14 ---
-638,-690,564
791,913,-314
646,-771,-483
685,-674,-615
645,-656,-614
-468,606,426
